LOOP,75,60603,4/17/2021,2,76,0,0,1174,105
LOOP,76,60607,12/5/2020,97,1669,0,5,29591,1673
NEAR WEST SIDE,76,60607,12/5/2020,97,1669,0,5,29591,1673
LOOP,78,60607,4/10/2021,75,2552,0,8,29591,1817
NEAR WEST SIDE,78,60607,4/10/2021,75,2552,0,8,29591,1817
WEST TOWN,79,60610,2/27/2021,49,2936,0,30,39019,1530
WEST TOWN,80,60610,3/6/2021,32,2968,0,30,39019,1589
LOOP,85,60607,12/26/2020,59,1866,0,5,29591,1564
NEAR WEST SIDE,85,60607,12/26/2020,59,1866,0,5,29591,1564
NORTH LAWNDALE,94,60612,8/21/2021,44,3868,0,70,34311,1373
WEST TOWN,94,60612,8/21/2021,44,3868,0,70,34311,1373
HUMBOLDT PARK,94,60612,8/21/2021,44,3868,0,70,34311,1373
EAST GARFIELD PARK,94,60612,8/21/2021,44,3868,0,70,34311,1373
NEAR WEST SIDE,94,60612,8/21/2021,44,3868,0,70,34311,1373
NORTH LAWNDALE,95,60612,8/28/2021,48,3916,0,70,34311,1357
WEST TOWN,95,60612,8/28/2021,48,3916,0,70,34311,1357
HUMBOLDT PARK,95,60612,8/28/2021,48,3916,0,70,34311,1357
EAST GARFIELD PARK,95,60612,8/28/2021,48,3916,0,70,34311,1357
NEAR WEST SIDE,95,60612,8/28/2021,48,3916,0,70,34311,1357
NORTH LAWNDALE,96,60612,9/11/2021,40,3997,0,71,34311,1375
WEST TOWN,96,60612,9/11/2021,40,3997,0,71,34311,1375
HUMBOLDT PARK,96,60612,9/11/2021,40,3997,0,71,34311,1375
EAST GARFIELD PARK,96,60612,9/11/2021,40,3997,0,71,34311,1375
NEAR WEST SIDE,96,60612,9/11/2021,40,3997,0,71,34311,1375
NORTH LAWNDALE,97,60612,9/18/2021,55,4052,2,73,34311,1895
WEST TOWN,97,60612,9/18/2021,55,4052,2,73,34311,1895
HUMBOLDT PARK,97,60612,9/18/2021,55,4052,2,73,34311,1895
EAST GARFIELD PARK,97,60612,9/18/2021,55,4052,2,73,34311,1895
NEAR WEST SIDE,97,60612,9/18/2021,55,4052,2,73,34311,1895
NORTH LAWNDALE,98,60612,10/9/2021,29,4129,0,73,34311,2133
WEST TOWN,98,60612,10/9/2021,29,4129,0,73,34311,2133
HUMBOLDT PARK,98,60612,10/9/2021,29,4129,0,73,34311,2133
EAST GARFIELD PARK,98,60612,10/9/2021,29,4129,0,73,34311,2133
NEAR WEST SIDE,98,60612,10/9/2021,29,4129,0,73,34311,2133
NORTH LAWNDALE,99,60612,11/20/2021,50,4349,1,76,34311,2572
WEST TOWN,99,60612,11/20/2021,50,4349,1,76,34311,2572
HUMBOLDT PARK,99,60612,11/20/2021,50,4349,1,76,34311,2572
EAST GARFIELD PARK,99,60612,11/20/2021,50,4349,1,76,34311,2572
NEAR WEST SIDE,99,60612,11/20/2021,50,4349,1,76,34311,2572
LOOP,107,60603,4/24/2021,1,77,0,0,1174,89
LOOP,108,60603,5/1/2021,0,77,0,0,1174,90
AVONDALE,110,60618,7/4/2020,37,1459,0,49,94395,1516
IRVING PARK,110,60618,7/4/2020,37,1459,0,49,94395,1516
ALBANY PARK,110,60618,7/4/2020,37,1459,0,49,94395,1516
LOGAN SQUARE,110,60618,7/4/2020,37,1459,0,49,94395,1516
AVONDALE,111,60618,7/11/2020,43,1502,1,50,94395,1708
IRVING PARK,111,60618,7/11/2020,43,1502,1,50,94395,1708
ALBANY PARK,111,60618,7/11/2020,43,1502,1,50,94395,1708
LOGAN SQUARE,111,60618,7/11/2020,43,1502,1,50,94395,1708
LOOP,113,60601,3/27/2021,29,1000,0,11,14675,616
LOOP,114,60601,8/7/2021,16,1152,0,12,14675,785
LOOP,115,60601,8/21/2021,20,1188,0,12,14675,1234
LOOP,116,60604,9/18/2021,1,121,0,0,782,290
LOOP,117,60604,9/25/2021,0,121,0,0,782,159
NEAR SOUTH SIDE,118,60605,1/16/2021,55,1544,1,10,27519,1146
LOOP,118,60605,1/16/2021,55,1544,1,10,27519,1146
LOOP,120,60607,9/26/2020,40,749,0,4,29591,1311
