PERMIT#,PERMIT_TYPE,APPLICATION_START_DATE,ISSUE_DATE,LATITUDE,LONGITUDE,zipcode,community_area
100936817,PERMIT - NEW CONSTRUCTION,10/22/2021,10/22/2021,41.93811243,-87.6598409,60618,AVONDALE
100941517,PERMIT - NEW CONSTRUCTION,10/22/2021,10/22/2021,41.91898305,-87.65354605,60614,LOGAN SQUARE
100944874,PERMIT - NEW CONSTRUCTION,10/22/2021,10/25/2021,41.70795286,-87.61994537,60628,WASHINGTON HEIGHTS
100940984,PERMIT - NEW CONSTRUCTION,10/21/2021,10/21/2021,41.78291833,-87.61071229,60637,WOODLAWN
100944958,PERMIT - NEW CONSTRUCTION,10/20/2021,10/20/2021,41.78428994,-87.68851192,60629,WEST ELSDON
100940855,PERMIT - NEW CONSTRUCTION,10/19/2021,11/8/2021,41.81416423,-87.63822012,60609,BRIDGEPORT
100944371,PERMIT - NEW CONSTRUCTION,10/18/2021,10/29/2021,41.89516997,-87.6730254,60622,WEST TOWN
100940168,PERMIT - NEW CONSTRUCTION,10/15/2021,10/15/2021,41.92700459,-87.65836519,60657,LAKEVIEW
100931488,PERMIT - NEW CONSTRUCTION,10/15/2021,10/15/2021,42.01548018,-87.70463717,60645,
100938190,PERMIT - NEW CONSTRUCTION,10/15/2021,10/15/2021,41.90310986,-87.68866201,60651,HUMBOLDT PARK
100940700,PERMIT - NEW CONSTRUCTION,10/15/2021,11/10/2021,42.00268826,-87.81024418,60631,NORWOOD PARK
100940581,PERMIT - NEW CONSTRUCTION,10/15/2021,11/19/2021,41.95341015,-87.68495539,60618,AVONDALE
100940641,PERMIT - NEW CONSTRUCTION,10/15/2021,10/21/2021,41.83105025,-87.68662555,60608,NORTH LAWNDALE
100943314,PERMIT - NEW CONSTRUCTION,10/15/2021,10/15/2021,41.88780829,-87.63753348,60654,LOOP
100943893,PERMIT - NEW CONSTRUCTION,10/14/2021,10/14/2021,41.9931329,-87.80011158,60631,NORWOOD PARK
100944039,PERMIT - NEW CONSTRUCTION,10/14/2021,10/15/2021,41.9388108,-87.64354229,60657,LAKEVIEW
100944047,PERMIT - NEW CONSTRUCTION,10/14/2021,10/26/2021,41.89038185,-87.63418484,60654,LOOP
100943836,PERMIT - NEW CONSTRUCTION,10/13/2021,10/13/2021,41.9006544,-87.6477972,60642,WEST TOWN
100940375,PERMIT - NEW CONSTRUCTION,10/13/2021,10/27/2021,41.82438154,-87.70058502,60632,ARCHER HEIGHTS
100940407,PERMIT - NEW CONSTRUCTION,10/13/2021,10/22/2021,41.82438004,-87.70066089,60632,ARCHER HEIGHTS
100935198,PERMIT - NEW CONSTRUCTION,10/13/2021,11/3/2021,41.77585262,-87.60475665,60637,WOODLAWN
100943453,PERMIT - NEW CONSTRUCTION,10/13/2021,10/13/2021,41.89953903,-87.623989,60611,
100932785,PERMIT - NEW CONSTRUCTION,10/13/2021,10/13/2021,41.92792213,-87.65758809,60614,LOGAN SQUARE
100935195,PERMIT - NEW CONSTRUCTION,10/13/2021,11/3/2021,41.77590902,-87.60475815,60637,WOODLAWN
100935199,PERMIT - NEW CONSTRUCTION,10/13/2021,11/3/2021,41.77574001,-87.60475375,60637,WOODLAWN
100933844,PERMIT - NEW CONSTRUCTION,10/13/2021,10/26/2021,41.91487416,-87.68307404,60647,LOGAN SQUARE
100931038,PERMIT - NEW CONSTRUCTION,10/13/2021,10/26/2021,41.91480675,-87.68296932,60647,LOGAN SQUARE
100939130,PERMIT - NEW CONSTRUCTION,10/13/2021,10/26/2021,41.95818724,-87.71442103,60625,ALBANY PARK
100939689,PERMIT - NEW CONSTRUCTION,10/13/2021,10/25/2021,41.84187519,-87.64041507,60616,ARMOUR SQUARE
100940282,PERMIT - NEW CONSTRUCTION,10/13/2021,10/26/2021,41.95005317,-87.70072039,60625,ALBANY PARK
100935193,PERMIT - NEW CONSTRUCTION,10/13/2021,11/3/2021,41.77596578,-87.60475965,60637,WOODLAWN
100940355,PERMIT - NEW CONSTRUCTION,10/12/2021,10/12/2021,41.91994429,-87.70373976,60647,LOGAN SQUARE
100938976,PERMIT - NEW CONSTRUCTION,10/12/2021,10/12/2021,41.94153042,-87.70538438,60625,ALBANY PARK
100943721,PERMIT - NEW CONSTRUCTION,10/12/2021,10/12/2021,41.85779292,-87.62546237,IL,
100934149,PERMIT - NEW CONSTRUCTION,10/12/2021,10/12/2021,41.84924285,-87.6238609,60616,ARMOUR SQUARE
100939832,PERMIT - NEW CONSTRUCTION,10/12/2021,10/12/2021,41.91563183,-87.64343548,60614,LOGAN SQUARE
100943477,PERMIT - NEW CONSTRUCTION,10/12/2021,10/12/2021,41.87673924,-87.65003622,60607,LOOP
100939686,PERMIT - NEW CONSTRUCTION,10/12/2021,11/9/2021,41.84187602,-87.64034196,60616,ARMOUR SQUARE
100938993,PERMIT - NEW CONSTRUCTION,10/11/2021,10/11/2021,41.94158696,-87.70538585,60625,ALBANY PARK
100943090,PERMIT - NEW CONSTRUCTION,10/8/2021,10/8/2021,41.85295968,-87.632152,60616,ARMOUR SQUARE
100943257,PERMIT - NEW CONSTRUCTION,10/8/2021,10/8/2021,41.86262829,-87.61503109,IL,
100935847,PERMIT - NEW CONSTRUCTION,10/8/2021,10/8/2021,41.82077549,-87.62167008,60653,KENWOOD
100943345,PERMIT - NEW CONSTRUCTION,10/8/2021,10/8/2021,41.99946965,-87.7032167,60645,
