,Unnamed: 0,tripid,tripstarttime,tripendtime,pickuplat,pickuplong,dropofflat,dropofflong,pick_zipcode,drop_zipcode,pick_ca,drop_ca
43,43,79cfd18a81ec80627e9633e737d1fd2961b16562,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,41.89960211,-87.63330804,41.89960211,-87.63330804,60610,60610,WEST TOWN,WEST TOWN
44,44,033e8662b9c4784f36549419a948a1213364b397,2021-10-31T23:45:00.000,2021-11-01T00:30:00.000,41.98026432,-87.91362459999999,42.00157103,-87.69501259,60018,60645,OHARE,
45,45,c996100d618e4438a933a1a0e6a9beb10dd19f2d,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,,,41.98026432,-87.91362459999999,60666,60018,OHARE,OHARE
46,46,d4bc1e8c62adf40b5ec7199581ee29ed7f51ef50,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,41.87400538,-87.66351755,41.87859436,-87.73023243,60607,60624,LOOP,HUMBOLDT PARK
47,47,655de460b90b598b9368f604279fb3d4bdbcfa32,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,41.90120699,-87.67635599,60018,60622,OHARE,WEST TOWN
48,48,0e5908f23fafec0c0d1e62278876cc161610eda1,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.79259236,-87.76961545,41.92276062,-87.69915534,60638,60647,MIDWAY,LOGAN SQUARE
49,49,71f220534bee8c41cb213ee81208cc723c5275b2,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.89960211,-87.63330804,41.74124273,-87.5514282,60610,60617,WEST TOWN,EAST SIDE
50,50,aa03636dfe72002535a86f70637620fccb6d011f,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.87400538,-87.66351755,41.89960211,-87.63330804,60607,60610,LOOP,WEST TOWN
51,51,87d541272f86b0842ffb81e0b3d46ec46432a19c,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.97907082,-87.90303966,41.85934972,-87.61735801,60666,IL,OHARE,
52,52,759d0e99bea978aeee810de4ae9b0d656cd22b5e,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.79409025,-87.59231086,41.77592883,-87.66659627,60637,60636,WOODLAWN,ENGLEWOOD
53,53,9c613c4f3a38b8d1d8932cbc318bcc0695901b7a,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.87925508,-87.642649,41.85934972,-87.61735801,60661,IL,WEST TOWN,
54,54,39a494fc577ad4df7840fdbeea1d6c56ffa8ced1,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.79259236,-87.76961545,41.90120699,-87.67635599,60638,60622,MIDWAY,WEST TOWN
55,55,31d9af151c81898ade5ecf2c746470d26efe3877,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,41.986711799999995,-87.66341641,60018,60660,OHARE,EDGEWATER
56,56,f7aab1d5e905cbc7e25a0f6d51bb7d28c35d0a9d,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,41.95358213,-87.72345239,41.9386662,-87.71121059,60618,60618,AVONDALE,AVONDALE
57,57,cdc604bc64e233c3c1f8f7eed5c4aae437d259bb,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,41.87859436,-87.73023243,41.87859436,-87.73023243,60624,60624,HUMBOLDT PARK,HUMBOLDT PARK
58,58,ed6cc1b3395c444b9fadb24a76bb3dfd3806e84e,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.96581197,-87.65587879,41.92726096,-87.76550161,60640,60639,EDGEWATER,LOGAN SQUARE
59,59,9e49f815c3ee7deeb0cda28f5ba69e7b94eaa467,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,,,,,60666,IL,OHARE,
60,60,4891fb05f359137679fcc735561a47f5fa9a35f9,2021-10-31T23:45:00.000,2021-11-01T00:45:00.000,41.98026432,-87.91362459999999,,,60018,IL,OHARE,
61,61,bc82de0ddeb139d7a7095d27671af525c667fffa,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,41.89207264,-87.62887416,41.89204214,-87.63186395,60654,60654,LOOP,LOOP
62,62,190a811fea21ed085cf793ddd8779097c76e5a89,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.9442266,-87.65599818,41.90120699,-87.67635599,60657,60622,LAKEVIEW,WEST TOWN
63,63,3970ce9dfa708fcbb736151ffdf41dff08f2cbdf,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,41.87400538,-87.66351755,41.87400538,-87.66351755,60607,60607,LOOP,LOOP
64,64,c25ef93f501205fe84d58c7ce7aeee8bbfe979d4,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.87400538,-87.66351755,41.87400538,-87.66351755,60607,60607,LOOP,LOOP
65,65,c0053aaebeed2582518922112f89e33f340baddc,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,,,41.97907082,-87.90303966,60666,60666,OHARE,OHARE
66,66,0a74c8d250dc1479ba23cce59dfd0f05b0154820,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,,,60018,IL,OHARE,
67,67,364f4504d7f7a398ffbf4761a6a81ca0ca492a47,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.89960211,-87.63330804,41.92726096,-87.76550161,60610,60639,WEST TOWN,LOGAN SQUARE
68,68,95802743f86912a3bf1afe0cdf0c3ee6ea0ad3ac,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.98026432,-87.91362459999999,41.89960211,-87.63330804,60018,60610,OHARE,WEST TOWN
69,69,acd1254478ed535e62674fed7e68d775f4f7c7e0,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,41.88498719,-87.62099291,41.89204214,-87.63186395,60601,60654,LOOP,LOOP
70,70,5d02cb21ebb8a744e02d047d00adbe64dbcc55a5,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.79259236,-87.76961545,41.89960211,-87.63330804,60638,60610,MIDWAY,WEST TOWN
71,71,df8cae5ab668353bbbb36ac9a4bbaf9c6f77b678,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,41.986711799999995,-87.66341641,60018,60660,OHARE,EDGEWATER
72,72,8b370f0776149349c85ae24cd651c068dc9f744e,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.87886558,-87.62519214,,,60604,IL,LOOP,
73,73,dbbd705036ad059f58b675530ddca487249fa82d,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,41.89207264,-87.62887416,41.89321636,-87.63784421,60654,60654,LOOP,LOOP
74,74,0691d2e7c92d4f92fd4d091eb3336cc73ba5e572,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,41.88498719,-87.62099291,41.88498719,-87.62099291,60601,60601,LOOP,LOOP
75,75,5a4dccfad814bb7c1b4458b78c42b44edf606770,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.79259236,-87.76961545,41.89960211,-87.63330804,60638,60610,MIDWAY,WEST TOWN
76,76,b0ec8a82cfaef3ecd86ef56c3ec0a3b644bd47e9,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,,,,,60666,IL,OHARE,
77,77,bb742d90c9fb56960c588f13ee32d19944c4c140,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.98026432,-87.91362459999999,41.87886558,-87.62519214,60018,60604,OHARE,LOOP
78,78,d79412b769317426ae17f168ea55db64db56c978,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,,,,,60666,IL,OHARE,
79,79,764a2503da22d26f4dfe3f699379e5136fb2033f,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,,,41.97907082,-87.90303966,60666,60666,OHARE,OHARE
80,80,fd1fa05a31e057c7e1fe372ca6f69dd75e1e212c,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,41.89960211,-87.63330804,60018,60610,OHARE,WEST TOWN
81,81,a22b6dc2687d4323a3160150386d145cf0d3edf0,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,,,41.87400538,-87.66351755,60666,60607,OHARE,LOOP
82,82,19aa34534b4cf463819a23ad48b2757f568dc2f2,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.79259236,-87.76961545,41.92268628,-87.64948873,60638,60614,MIDWAY,LOGAN SQUARE
83,83,d6a3e63e2d6b8f493b264f2f412f956babd6e184,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,41.89207264,-87.62887416,41.89321636,-87.63784421,60654,60654,LOOP,LOOP
84,84,efa41cc59ebaceb65fc8b6e03a28b0df702e4f5c,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.9386662,-87.71121059,41.97882953,-87.7711667,60618,60630,AVONDALE,FOREST GLEN
85,85,a4e83d901c5ea78f2ea0a0b8357fd882f1c3faa1,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.90120699,-87.67635599,42.00157103,-87.69501259,60622,60645,WEST TOWN,
86,86,d615da74382c392082201904d79576b1cd9c64e1,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.79259236,-87.76961545,41.92268628,-87.64948873,60638,60614,MIDWAY,LOGAN SQUARE
87,87,08ea41acf0d87941fe89af687d3bb9f5b61322f1,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.89960211,-87.63330804,41.87886558,-87.62519214,60610,60604,WEST TOWN,LOOP
88,88,2427b5602ed37d39d565f89ba784a64346e1b605,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.89960211,-87.63330804,,,60610,IL,WEST TOWN,
89,89,f02a9c5f631b6e1a51786a59b547d4f8f20fa687,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,41.89960211,-87.63330804,41.89960211,-87.63330804,60610,60610,WEST TOWN,WEST TOWN
90,90,59a690dc069ccf9b12e4b3151ea83169297913d8,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.83511799,-87.61867777,41.9442266,-87.65599818,60616,60657,ARMOUR SQUARE,LAKEVIEW
91,91,a391be451c9ac87062ab5a5edf11244d88e9ff98,2021-10-31T23:45:00.000,2021-11-01T01:15:00.000,41.98026432,-87.91362459999999,41.98026432,-87.91362459999999,60018,60018,OHARE,OHARE
92,92,2aee7b18f404e04f42fa228fac1c803de6966c6f,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,,,41.97907082,-87.90303966,60666,60666,OHARE,OHARE
93,93,3cde3f38ff879666da3ba5bcca1a26ae44489ba7,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,41.96581197,-87.65587879,41.96581197,-87.65587879,60640,60640,EDGEWATER,EDGEWATER
94,94,67ab162a07591033c091af8a22252e9a748c1630,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.71749304,-87.64889507,41.83511799,-87.61867777,60643,60616,WASHINGTON HEIGHTS,ARMOUR SQUARE
95,95,38e2bdb517afe9cc5b516830db546503b116b788,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.89960211,-87.63330804,41.94779159,-87.68383494,60610,60625,WEST TOWN,ALBANY PARK
96,96,a489ce2fea8111b23cea57247001ab18a7593821,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.98026432,-87.91362459999999,,,60018,IL,OHARE,
97,97,891dddc7a806c4a669c61062fdd78c421c493d4f,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,41.89960211,-87.63330804,41.89960211,-87.63330804,60610,60610,WEST TOWN,WEST TOWN
98,98,e03cce94e8ee573c8c065e9327be0e4c30330b9b,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,,,60018,IL,OHARE,
99,99,cbd295a35cc39aaf3fc00027f3a4c9520ac155bc,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.968069,-87.72155906,41.968069,-87.72155906,60625,60625,ALBANY PARK,ALBANY PARK
100,100,b00a7d6b18f60c73d8474a4fb22a04958924e266,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,41.87886558,-87.62519214,60018,60604,OHARE,LOOP
101,101,01541ab96e4ca99efded8ef1e24ee344148529aa,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.79259236,-87.76961545,41.79259236,-87.76961545,60638,60638,MIDWAY,MIDWAY
102,102,a90ce4577d1e8c1a1b6fb7f967c5b85bcfa634ec,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,,,,,60666,IL,OHARE,
103,103,d399aa95c523da95321d2ffc667f2249b9e81de7,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,,,60018,IL,OHARE,
104,104,f1a172abfdbede846d908d161066d370e36a46c1,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.96581197,-87.65587879,41.94779159,-87.68383494,60640,60625,EDGEWATER,ALBANY PARK
105,105,1a2db07010a36403fbada8ca97d242c83d5f59a8,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.79259236,-87.76961545,41.90120699,-87.67635599,60638,60622,MIDWAY,WEST TOWN
106,106,e5f96ba5875405cdb699b4419d6f78051fe63df1,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,,,60018,IL,OHARE,
107,107,bc9debf4028e78be2928e983179c762a33162b63,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,,,41.97907082,-87.90303966,60666,60666,OHARE,OHARE
108,108,f28e84d923ab5b6f18e64dfca80b5fa999fe9bbc,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.80908443,-87.63242452,41.89960211,-87.63330804,60653,60610,KENWOOD,WEST TOWN
109,109,0a2b611225e019f4288ff145a301e5023fe5d04f,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,41.89960211,-87.63330804,41.89960211,-87.63330804,60610,60610,WEST TOWN,WEST TOWN
110,110,401abcc25f3d6f3f2939249f37c92d737fc9bcdf,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.89960211,-87.63330804,41.8299223,-87.67250265,60610,60609,WEST TOWN,BRIDGEPORT
111,111,47b775ab7c67e16c763e57602abf883daa34a786,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.87886558,-87.62519214,41.70612575,-87.59825584,60604,60628,LOOP,WASHINGTON HEIGHTS
112,112,c3e4e6dc84f56470c503d0f7e2d845849cd8923d,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,41.986711799999995,-87.66341641,60018,60660,OHARE,EDGEWATER
113,113,5d576c275d87781c029a1a686fb3cd8a85e29e32,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.87400538,-87.66351755,41.85718386,-87.62033462,60607,IL,LOOP,
114,114,8e13a4c1c0d2ff8c00244b91741d6256562adab6,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.98026432,-87.91362459999999,41.89960211,-87.63330804,60018,60610,OHARE,WEST TOWN
115,115,06a3d0a14b5a351397e7254bff5bb4775c10266c,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.9442266,-87.65599818,41.97517094,-87.68751552,60657,60625,LAKEVIEW,ALBANY PARK
116,116,f93b8d7a34e2b21aa2c90d41bfe93d027b780d8a,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,41.89960211,-87.63330804,60018,60610,OHARE,WEST TOWN
117,117,35139c3c658346bb1ce26e843258b9849951af43,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,41.96581197,-87.65587879,41.96581197,-87.65587879,60640,60640,EDGEWATER,EDGEWATER
118,118,cfe597a92efb67912d83ee23555db83832ee0aa1,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,,,,,60666,IL,OHARE,
119,119,19783e1935935c64fe10b27827a8713311fe14a9,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.98026432,-87.91362459999999,,,60018,IL,OHARE,
120,120,15d3539923d7c04dc1fa2a26c634bfe2cd54cf93,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,41.85718386,-87.62033462,41.85718386,-87.62033462,IL,IL,,
121,121,f79528f5ff5d0c03eb62a828ac9fc44beaa9599f,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,,,41.9442266,-87.65599818,60666,60657,OHARE,LAKEVIEW
122,122,5ed6ca720e096f09eb226a43c757a8c3a6252680,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.87400538,-87.66351755,41.986711799999995,-87.66341641,60607,60660,LOOP,EDGEWATER
123,123,4bf4c0cbdae73f653357694786c2a32467cb2dcf,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,,,,,60666,IL,OHARE,
124,124,671804db7dd44c6e46a4c121c20c1865ee73dc1c,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,41.79409025,-87.59231086,60018,60637,OHARE,WOODLAWN
125,125,4bfb6eb800db82266301f71d04a77c4fc5616d4e,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.79259236,-87.76961545,41.85718386,-87.62033462,60638,IL,MIDWAY,
126,126,70a430896c1afbb297e2031c81dcbca49f0d3873,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,,,41.97907082,-87.90303966,60666,60666,OHARE,OHARE
127,127,bf159c318b328565ca6712925124a593cb3a444f,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.79259236,-87.76961545,,,60638,IL,MIDWAY,
128,128,f07a8eaec1bb5c247b3d2c8ae8d20efaea504687,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.76157791,-87.57278199,41.76157791,-87.57278199,60649,60649,SOUTH CHICAGO,SOUTH CHICAGO
129,129,c9a88193f87ed92016bdb8392a68decc29752453,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.98026432,-87.91362459999999,,,60018,IL,OHARE,
130,130,dd67f28825af98ce659bbd0259e37883e0199ef4,2021-10-31T23:45:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,41.87886558,-87.62519214,60018,60604,OHARE,LOOP
131,131,e1eb6c8788b3ba375f36d7c3a82fb978d032264b,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,,,,,60666,IL,OHARE,
132,132,8fe96979425815a9ab7a05b4cbe4794d1bb5c698,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,,,41.98026432,-87.91362459999999,60666,60018,OHARE,OHARE
133,133,915e018306cfa2087e0bcd9925d1ede0576b9acf,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.98026432,-87.91362459999999,41.87886558,-87.62519214,60018,60604,OHARE,LOOP
134,134,5c85de43c8e4f37fb71645ad8567c237b11f220b,2021-10-31T23:30:00.000,2021-11-01T00:00:00.000,41.81294894,-87.61785968,41.70612575,-87.59825584,60653,60628,KENWOOD,WASHINGTON HEIGHTS
